code,naam,niveau,indicator,jaar,waarde
71016A001,GENK-CENTRUM,sector,screening,2020,0.495
71016A001,GENK-CENTRUM,sector,screening,2021,0.48
71016A001,GENK-CENTRUM,sector,screening,2022,0.475
71016A001,GENK-CENTRUM,sector,screening,2023,0.483
71016A001,GENK-CENTRUM,sector,screening,2024,0.509
71016A010,MOLENBLOOK,sector,screening,2020,0.598
71016A010,MOLENBLOOK,sector,screening,2021,0.626
71016A010,MOLENBLOOK,sector,screening,2022,0.588
71016A010,MOLENBLOOK,sector,screening,2023,0.578
71016A010,MOLENBLOOK,sector,screening,2024,0.556
71016A02K,D' IERD-ZONNEWEELDE,sector,screening,2020,0.502
71016A02K,D' IERD-ZONNEWEELDE,sector,screening,2021,0.473
71016A02K,D' IERD-ZONNEWEELDE,sector,screening,2022,0.464
71016A02K,D' IERD-ZONNEWEELDE,sector,screening,2023,0.477
71016A02K,D' IERD-ZONNEWEELDE,sector,screening,2024,0.512
71016A02L,VLAKVELD TUINWIJK,sector,screening,2020,0.481
71016A02L,VLAKVELD TUINWIJK,sector,screening,2021,0.504
71016A02L,VLAKVELD TUINWIJK,sector,screening,2022,0.531
71016A02L,VLAKVELD TUINWIJK,sector,screening,2023,0.578
71016A02L,VLAKVELD TUINWIJK,sector,screening,2024,0.588
71016A02M,VLAKVELD OP STROEP,sector,screening,2020,0.619
71016A02M,VLAKVELD OP STROEP,sector,screening,2021,0.706
71016A02M,VLAKVELD OP STROEP,sector,screening,2022,0.722
71016A02M,VLAKVELD OP STROEP,sector,screening,2023,0.684
71016A02M,VLAKVELD OP STROEP,sector,screening,2024,0.714
71016A03-,GENK-CENTRUM - NOORD,sector,screening,2020,0.571
71016A03-,GENK-CENTRUM - NOORD,sector,screening,2021,0.576
71016A03-,GENK-CENTRUM - NOORD,sector,screening,2022,0.578
71016A03-,GENK-CENTRUM - NOORD,sector,screening,2023,0.587
71016A03-,GENK-CENTRUM - NOORD,sector,screening,2024,0.591
71016A04-,BRETHEI,sector,screening,2020,0.56
71016A04-,BRETHEI,sector,screening,2021,0.585
71016A04-,BRETHEI,sector,screening,2022,0.553
71016A04-,BRETHEI,sector,screening,2023,0.575
71016A04-,BRETHEI,sector,screening,2024,0.594
71016A08K,STIEMER,sector,screening,2020,0.2
71016A08K,STIEMER,sector,screening,2021,0.4
71016A08K,STIEMER,sector,screening,2022,0.6
71016A08K,STIEMER,sector,screening,2023,0.6
71016A0MA,MELBERG,sector,screening,2020,0.833
71016A0MA,MELBERG,sector,screening,2021,0.667
71016A0MA,MELBERG,sector,screening,2022,0.667
71016A0MA,MELBERG,sector,screening,2023,0.25
71016A0MA,MELBERG,sector,screening,2024,0.182
71016A0PA,MELBERG-NATUUR,sector,screening,2020,0.533
71016A0PA,MELBERG-NATUUR,sector,screening,2021,0.52
71016A0PA,MELBERG-NATUUR,sector,screening,2022,0.708
71016A0PA,MELBERG-NATUUR,sector,screening,2023,0.682
71016A0PA,MELBERG-NATUUR,sector,screening,2024,0.773
71016A20-,KOLDERBOS,sector,screening,2020,0.489
71016A20-,KOLDERBOS,sector,screening,2021,0.47
71016A20-,KOLDERBOS,sector,screening,2022,0.486
71016A20-,KOLDERBOS,sector,screening,2023,0.534
71016A20-,KOLDERBOS,sector,screening,2024,0.567
71016A210,LANGERLO,sector,screening,2020,0.619
71016A210,LANGERLO,sector,screening,2021,0.562
71016A210,LANGERLO,sector,screening,2022,0.537
71016A210,LANGERLO,sector,screening,2023,0.577
71016A210,LANGERLO,sector,screening,2024,0.614
71016A292,FLETERSDEL,sector,screening,2020,0.689
71016A292,FLETERSDEL,sector,screening,2021,0.623
71016A292,FLETERSDEL,sector,screening,2022,0.655
71016A292,FLETERSDEL,sector,screening,2023,0.669
71016A292,FLETERSDEL,sector,screening,2024,0.669
71016A300,WINTERSLAG - TUINWIJK I,sector,screening,2020,0.498
71016A300,WINTERSLAG - TUINWIJK I,sector,screening,2021,0.533
71016A300,WINTERSLAG - TUINWIJK I,sector,screening,2022,0.533
71016A300,WINTERSLAG - TUINWIJK I,sector,screening,2023,0.549
71016A300,WINTERSLAG - TUINWIJK I,sector,screening,2024,0.557
71016A31K,OUD-WINTERSLAG C-MINE,sector,screening,2020,0.568
71016A31K,OUD-WINTERSLAG C-MINE,sector,screening,2021,0.575
71016A31K,OUD-WINTERSLAG C-MINE,sector,screening,2022,0.555
71016A31K,OUD-WINTERSLAG C-MINE,sector,screening,2023,0.593
71016A31K,OUD-WINTERSLAG C-MINE,sector,screening,2024,0.588
71016A41K,HASSELTWEG KNEIPPWIEK,sector,screening,2020,0.604
71016A41K,HASSELTWEG KNEIPPWIEK,sector,screening,2021,0.592
71016A41K,HASSELTWEG KNEIPPWIEK,sector,screening,2022,0.588
71016A41K,HASSELTWEG KNEIPPWIEK,sector,screening,2023,0.623
71016A41K,HASSELTWEG KNEIPPWIEK,sector,screening,2024,0.629
71016A42-,WINTERSLAG - TUINWIJK II & IV,sector,screening,2020,0.474
71016A42-,WINTERSLAG - TUINWIJK II & IV,sector,screening,2021,0.49
