code,naam,niveau,parent_code,is_campagnebuurt,kleur
Noord,Genk-Noord,campagnebuurt,,ja,#70AD47
Oost,Genk-Oost,campagnebuurt,,ja,#4472C4
West,Genk-West,campagnebuurt,,ja,#ED7D31
Centrum,Genk-Centrum,campagnebuurt,,ja,#FFC000
Bret-Gelieren-Kattevenne,Bret-Gelieren-Kattevenne,buurt,,,#2ECC71
Genk-Centrum,Genk-Centrum,buurt,,,#FFC000
Genk-Midden,Genk-Midden,buurt,,,#9B59B6
Genk-Noord,Genk-Noord,buurt,,,#70AD47
Genk-Oost,Genk-Oost,buurt,,,#4472C4
Genk-West,Genk-West,buurt,,,#ED7D31
Genk-Zuid,Genk-Zuid,buurt,,,#E74C3C
Kolderbos-Langerlo,Kolderbos-Langerlo,buurt,,,#7F8C8D
71016W01,Bokrijk,wijk,Genk-Midden,,
71016W02,Boxbergheide,wijk,West,,
71016W03,Bret,wijk,Bret-Gelieren-Kattevenne,,
71016W04,Driehoeven,wijk,Noord,,
71016W05,Gelieren,wijk,Bret-Gelieren-Kattevenne,,
71016W06,Genk-Centrum,wijk,Centrum,,
71016W07,Genk-Centrum-Noord,wijk,Centrum,,
71016W08,Hasseltweg,wijk,Genk-Midden,,
71016W09,Hoevenzavel,wijk,Noord,,
71016W10,Industrieterrein Genk-Noord,wijk,Noord,,
71016W11,Industrieterrein Genk-Zuid,wijk,Genk-Zuid,,
71016W12,Kattevenne,wijk,Bret-Gelieren-Kattevenne,,
71016W13,Kolderbos,wijk,Kolderbos-Langerlo,,
71016W14,Langerlo,wijk,Kolderbos-Langerlo,,
71016W15,Molenblook,wijk,Centrum,,
71016W16,Nieuw Sledderlo,wijk,Genk-Zuid,,
71016W17,Nieuw-Driehoeven,wijk,Noord,,
71016W18,Nieuw-Termien,wijk,Genk-Midden,,
71016W19,Nieuw-Texas,wijk,Oost,,
71016W20,Nieuwe Kempen,wijk,Noord,,
71016W21,Oud-Sledderlo,wijk,Genk-Zuid,,
71016W22,Oud-Termien,wijk,Genk-Midden,,
71016W23,Oud-Waterschei,wijk,Oost,,
71016W24,Oud-Winterslag,wijk,West,,
71016W25,Vlakveld,wijk,Genk-Midden,,
71016W26,Waterschei-Noord,wijk,Oost,,
71016W27,Waterschei-Zuid,wijk,Oost,,
71016W28,Winterslag 1,wijk,West,,
71016W29,Winterslag 2 en 4,wijk,West,,
71016W30,Zwartberg-Noord,wijk,Noord,,
71016W31,Zwartberg-Zuid,wijk,Noord,,
71016A001,GENK-CENTRUM,sector,Centrum,,
71016A010,MOLENBLOOK,sector,Centrum,,
71016A02K,D' IERD-ZONNEWEELDE,sector,/,,
71016A02L,VLAKVELD TUINWIJK,sector,/,,
71016A02M,VLAKVELD OP STROEP,sector,/,,
71016A03-,GENK-CENTRUM - NOORD,sector,Centrum,,
71016A04-,BRETHEI,sector,/,,
71016A08K,STIEMER,sector,/,,
71016A0MA,MELBERG,sector,/,,
71016A0PA,MELBERG-NATUUR,sector,/,,
71016A20-,KOLDERBOS,sector,/,,
71016A210,LANGERLO,sector,/,,
71016A292,FLETERSDEL,sector,/,,
71016A300,WINTERSLAG - TUINWIJK I,sector,West,,
71016A31K,OUD-WINTERSLAG C-MINE,sector,West,,
71016A37K,WINTERSLAG TERRIL,sector,West,,
71016A391,ZONHOVERHEIDE,sector,Noord,,
71016A41K,HASSELTWEG KNEIPPWIEK,sector,/,,
71016A42-,WINTERSLAG - TUINWIJK II & IV,sector,West,,
71016A432,SCHEMMERSBERG,sector,West,,
71016A490,BOKRIJK-NOORD,sector,/,,
71016A4AB,WENNEL,sector,/,,
71016A4OK,BOXBERG,sector,West,,
71016A50K,TERMIEN,sector,/,,
71016A51-,TERMIEN - TUINWIJK,sector,/,,
71016A512,TERMIEN - KLOOSTER,sector,/,,
71016A579,INDUSTRIE-ZUID,sector,/,,
71016A59K,DE MATEN-NATUUR,sector,/,,
71016A600,BOKRIJK-ZUID,sector,/,,
71016A70K,SLEDDERLO OUD,sector,/,,
71016A71-,TERBOEKT,sector,/,,
71016A72K,KOEBAAN-NOORD,sector,/,,
71016A734,NIEUW SLEDDERLO,sector,/,,
71016A775,KLEIN LANGERLO,sector,/,,
71016A791,MEIBOS,sector,/,,
71016A800,GELIEREN - HOOGZIJ,sector,/,,
71016A882,BODEM - ZUID,sector,Oost,,
71016A890,KATTEVENNE,sector,/,,
71016A912,CAETSBEEK,sector,/,,
71016B083,STALEN,sector,Oost,,
71016B11-,OUD-WATERSCHEI,sector,Oost,,
71016B17-,KOLENMIJN ANDRE DUMONT,sector,Oost,,
71016B191,BODEM - NOORD,sector,Oost,,
71016B1AB,WATERSCHEI-ZUID,sector,Oost,,
71016B1BK,NOORD WATERSCHEI,sector,Oost,,
71016B1CK,WATERSCHEI TEXAS,sector,Oost,,
71016B20K,ZWARTBERG-TUINWIJK-NOORD-WEST,sector,Noord,,
71016B20L,ZWARTBERG-TUINWIJK-NOORD-OOST,sector,Noord,,
71016B20M,ZWARTBERG-TUINWIJK-ZUID-OOST,sector,Noord,,
71016B22K,HEIDEBLOOK,sector,Noord,,
71016B22L,HOEVENZAVELLAAN,sector,Noord,,
71016B23K,OUD-DRIEHOEVEN,sector,Noord,,
71016B242,NIEUWE KEMPEN,sector,Noord,,
