snapshot,geboortejaar,regist_mannen,regist_vrouwen,regist_totaal,clb_mannen,clb_vrouwen,clb_totaal
2026-01,2000,<5%,0.80,0.38,<5%,0.95,0.94
2026-01,2001,<5%,0.80,0.38,0.29,0.95,0.94
2026-01,2002,<5%,0.82,0.39,0.50,>95%,>95%
2026-01,2003,<5%,0.75,0.37,0.13,>95%,0.94
2026-01,2004,0.05,0.67,0.35,0.05,>95%,0.90
2026-01,2005,0.06,0.84,0.43,0.19,0.87,0.82
2026-01,2006,0.21,0.79,0.49,0.74,>95%,0.91
2026-01,2007,0.78,0.85,0.81,0.94,0.94,0.94
2026-01,2008,0.76,0.77,0.76,>95%,0.94,0.95
2026-01,2009,0.67,0.73,0.70,>95%,>95%,>95%
2026-01,2010,0.67,0.77,0.72,0.95,0.95,0.95
2026-01,2011,0.64,0.69,0.66,0.95,>95%,>95%
2026-01,2012,0.56,0.58,0.57,>95%,0.93,0.95
2026-01,2013,<5%,<5%,<5%,>95%,0.75,0.86
2026-01,2014,<5%,<5%,<5%,<5%,<5%,<5%
